| Professor Name          | Professor Title                                                                       | Homepage URL                            | Research Areas                                                                                                                                                                                                                                                                        |
|:------------------------|:--------------------------------------------------------------------------------------|:----------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Parastoo Abtahi         | Assistant Professor                                                                   | https://www.cs.princeton.edu/~abtahi    | Human-Computer Interaction, Augmented Reality, Spatial Computing                                                                                                                                                                                                                      |
| Ryan Adams              | Professor, Associate Chair                                                            | https://www.cs.princeton.edu/~rpa       | I am interested in machine learning, artificial intelligence, and computational statistics, with applications across science and engineering. I have broad interests but often work on probabilistic methods and approximate Bayesian inference.                                      |
| Andrew Appel            | Eugene Higgins Professor                                                              | https://www.cs.princeton.edu/~appel     | Software verification, computer security, programming languages, compilers                                                                                                                                                                                                            |
| Sanjeev Arora           | Charles C. Fitzmorris Professor                                                       | https://www.cs.princeton.edu/~arora     | Uses of randomness in complexity theory and algorithms; efficient algorithms for finding approximate solutions to NP-hard problems (or proving that they don't exist); cryptography                                                                                                   |
| David August            | Professor                                                                             | https://www.cs.princeton.edu/~august    | Computer Architecture and Compilers                                                                                                                                                                                                                                                   |
| Lennart Beringer        | Research Scholar                                                                      | https://www.cs.princeton.edu/~eberinge  | Complexity theory; algorithms; game theory;  machine learning; applications of computer science in healthcare and medicine                                                                                                                                                            |
| Suma Bhat               | Research Scholar                                                                      | /people/profile/sb2592                  | Natural Algorithms, Dynamical Systems, Dynamic Networks, Computational Geometry, Discrepancy Theory                                                                                                                                                                                   |
| Jack Brassil            | Senior Research Scholar                                                               | https://www.cs.princeton.edu/~jbrassil  | My research is in natural language processing (NLP) and machine learning. I am particularly interested in the intersection of text understanding and knowledge representation & reasoning and applications in question answering, information extraction, and conversational systems. |
| Mark Braverman          | Professor                                                                             | https://www.cs.princeton.edu/~mbraverm  | Sublinear algorithms, quantum computation, interactive proof systems, cryptography                                                                                                                                                                                                    |
| Sebastian Caldas        | Lecturer                                                                              | /people/profile/scaldas                 | Machine learning, Artificial Intelligence for Science (AI4Science)                                                                                                                                                                                                                    |
| Bernard Chazelle        | Eugene Higgins Professor                                                              | https://www.cs.princeton.edu/~chazelle  | reinforcement learning, machine learning                                                                                                                                                                                                                                              |
| Danqi Chen              | Assistant Professor                                                                   | https://www.cs.princeton.edu/~danqic    | Natural Language Processing, Lexical semantics, the syntax-semantics interface, syntactic alternations, computational linguistics, large-scale lexical resources, idioms, ontology                                                                                                    |
| Marcel Dall'Agnol       | Lecturer                                                                              | https://www.cs.princeton.edu/~dallagnol | Computer graphics, animation                                                                                                                                                                                                                                                          |
| Jia Deng                | Associate Professor                                                                   | https://www.cs.princeton.edu/~jiadeng   | Networking and Telecommunications, Computer-Human Interaction, Online Learning and MOOCs, R&D Innovation Methodologies                                                                                                                                                                |
| Adji Bousso Dieng       | Assistant Professor                                                                   | /people/profile/ad6725                  | computer vision, machine learning, deep learning, explainable AI                                                                                                                                                                                                                      |
| Robert Dondero          | Senior Lecturer                                                                       | https://www.cs.princeton.edu/~rdondero  | Distributed systems, security, networking                                                                                                                                                                                                                                             |
| Zeev Dvir               | Professor                                                                             | https://www.cs.princeton.edu/~zdvir     | Formal verification, program analysis, logic decision procedures                                                                                                                                                                                                                      |
| Benjamin Eysenbach      | Assistant Professor                                                                   | /people/profile/eysenbach               | Theoretical foundations of machine learning, design and analysis of efficient algorithms for machine learning and mathematical optimization.                                                                                                                                          |
| Christiane Fellbaum     | Lecturer with rank of Professor                                                       | https://www.cs.princeton.edu/~fellbaum  | Computational Imaging, Computer Vision, Computer Graphics, Optics                                                                                                                                                                                                                     |
| Adam Finkelstein        | Phillip Y. Goldman ’86 Professor in Computer Science                                  | https://www.cs.princeton.edu/~af        | Networking, Wireless Systems, Internet of Things                                                                                                                                                                                                                                      |
| Robert Fish             | Lecturer                                                                              | /people/profile/rfish                   | Mobile software, middleware and protocols, communication and networking for consumer applications and services, software engineering                                                                                                                                                  |
| Ruth Fong               | Lecturer                                                                              | https://www.cs.princeton.edu/~ruthfong  | Application-specific languages, document preparation, user interfaces, software tools, programming methodology                                                                                                                                                                        |
| Michael Freedman        | Robert E. Kahn Professor of Computer Science                                          | https://www.cs.princeton.edu/~mfreed    | programming languages, program analysis, program verification, automated reasoning                                                                                                                                                                                                    |
| Donna Gabai             | Lecturer                                                                              | https://www.cs.princeton.edu/~dgabai    | Societal impacts of algorithms and AI; privacy; fair and privacy-preserving machine learning; algorithm auditing; targeted advertising; technology policy                                                                                                                             |
| Tom Griffiths           | Henry R. Luce Professor of Information Technology, Consciousness and Culture          | /people/profile/tomg                    | Parallel architectures and systems; distributed systems; operating systems                                                                                                                                                                                                            |
| Aarti Gupta             | Professor                                                                             | https://www.cs.princeton.edu/~aartig    | Distributed Systems                                                                                                                                                                                                                                                                   |
| Elad Hazan              | Professor, Director of Graduate Studies-Admissions                                    | https://www.cs.princeton.edu/~ehazan    | Computer Architecture in Classical and Quantum Systems                                                                                                                                                                                                                                |
| Felix Heide             | Assistant Professor                                                                   | https://www.cs.princeton.edu/~fheide    | Technology law and policy, with emphasis on national security, criminal procedure, consumer privacy, network management, and online speech.                                                                                                                                           |
| Kyle Jamieson           | Professor, Director of Graduate Studies                                               | https://www.cs.princeton.edu/~kylej     | Distributed systems, computer science education                                                                                                                                                                                                                                       |
| Alan Kaplan             | Senior Lecturer                                                                       | https://www.cs.princeton.edu/~ak18      | Robotics                                                                                                                                                                                                                                                                              |
| Brian Kernighan         | William O. Baker *39 Professor in Computer Science, Director of Undergraduate Studies | https://www.cs.princeton.edu/~bwk       | Natural language processing, reinforcement learning                                                                                                                                                                                                                                   |
| Zachary Kincaid         | Associate Professor                                                                   | https://www.cs.princeton.edu/~zkincaid  | Information privacy, fairness in machine learning, cryptocurrencies, tech policy                                                                                                                                                                                                      |
| Gillat Kol              | Associate Professor                                                                   | /people/profile/gkol                    | Systems, networking, distributed systems                                                                                                                                                                                                                                              |
| Aleksandra Korolova     | Assistant Professor                                                                   | /people/profile/korolova                | Theoretical Computer Science, Spectral Algorithms, Complexity Theory, Combinatorics, Probability and Computation                                                                                                                                                                      |
| Amit Levy               | Assistant Professor                                                                   | https://www.cs.princeton.edu/~aalevy    | Networked systems                                                                                                                                                                                                                                                                     |
| Kai Li                  | Paul M. and Marcia R. Wythes Professor                                                | https://www.cs.princeton.edu/~li        | Quantum computation, Information-Based Complexity                                                                                                                                                                                                                                     |
| Xiaoyan Li              | Senior Lecturer                                                                       | https://www.cs.princeton.edu/~xiaoyan   | Computational biology, functional genomics, single-cell technologies, regulation of gene expression, immunology, cancer                                                                                                                                                               |
| Edo Liberty             | Visiting Lecturer                                                                     | /people/profile/el2340                  | Explainable AI, Fairness in AI and Computer Vision                                                                                                                                                                                                                                    |
| Wyatt Lloyd             | Associate Professor, Associate Chair                                                  | https://www.cs.princeton.edu/~wlloyd    | Computational biology                                                                                                                                                                                                                                                                 |
| Alex Lombardi           | Assistant Professor                                                                   | /people/profile/al2201                  | Networking, network virtualization, Internet measurement, network management, network troubleshooting.                                                                                                                                                                                |
| Margaret Martonosi      | Hugh Trumbull Adams '35 Professor                                                     | https://www.cs.princeton.edu/~mrm       | Computer graphics; acquisition of 3D shape, reflectance, and appearance of real-world objects.                                                                                                                                                                                        |
| Jonathan Mayer          | Assistant Professor                                                                   | https://www.cs.princeton.edu/~jrmayer   | I work on developing artificially intelligent systems that are able to reason about the visual world. My primary research area is computer vision, closely integrated with machine learning, human-computer interaction and fairness, accountability and transparency.                |
| Andrés Monroy-Hernández | Assistant Professor                                                                   | /people/profile/andresmh                | Machine learning, computational biology                                                                                                                                                                                                                                               |
| Christopher Moretti     | Senior Lecturer                                                                       | https://www.cs.princeton.edu/~cmoretti  | Parallel computing systems and applications: parallel applications and their implications for software and architectural design; system software and programming environments for multiprocessors                                                                                     |
| Radhika Nagpal          | Norman R. Augustine ’57 *59 Professor in Engineering                                  | /people/profile/rn1627                  | Computational molecular biology, as well as its interface with machine learning and algorithms.                                                                                                                                                                                       |
| Karthik Narasimhan      | Assistant Professor                                                                   | https://www.cs.princeton.edu/~karthikn  | Data structures; graph algorithms; combinatorial optimization; computational complexity; computational geometry; parallel algorithms                                                                                                                                                  |
| Arvind Narayanan        | Professor                                                                             | https://www.cs.princeton.edu/~arvindn   | Bioinformatics; analysis of large-scale biological data sets (genomics, gene expression, proteomics, biological networks); algorithms for integration of data from multiple data sources; visualization of biological data; machine learning methods in bioinformatics                |
| Ravi Netravali          | Assistant Professor                                                                   | https://www.cs.princeton.edu/~ravian    | Programming languages, type systems, compilers, domain-specific languages, software-defined networking                                                                                                                                                                                |
| Rotem Oshman            | William R. Kenan, Jr., Visiting Associate Professor for Distinguished Teaching        | https://www.cs.tau.ac.il/~roshman/      | Algorithms and data structures; computer science education                                                                                                                                                                                                                            |
| Pedro Paredes           | Lecturer                                                                              | https://www.cs.princeton.edu/~pparedes  | Data structures, streaming algorithms, communication complexity                                                                                                                                                                                                                       |
| Larry Peterson          | Robert E. Kahn Professor, Emeritus                                                    | https://www.cs.princeton.edu/~llp       | Machine learning, computational and structural biology, 3D computer vision, biological imaging                                                                                                                                                                                        |
